,Unnamed: 0,Clean,Tanggal,keywords,cluster
10,10,"['protokol_sehat', 'sleman', 'orang_tua', 'pandemi_covid', 'vaksinasi', 'kota_yogyakarta', 'pasar', 'persen', 'harga_cabai', 'harga']",3-25,protokol_sehat sleman orang_tua pandemi_covid vaksinasi kota_yogyakarta pasar persen harga_cabai harga,5
11,11,"['makam', 'wali_kota', 'juru_kunci', 'teman', 'tumbuh', 'solo', 'presiden', 'ahli', 'area', 'jokowi']",3-25,makam wali_kota juru_kunci teman tumbuh solo presiden ahli area jokowi,4
12,12,"['gugur_lava', 'gunung_rapi', 'jarak_luncur', 'awan_panas', 'arah_barat', 'gugur', 'kali_gempa', 'rapi', 'lava', 'gunung']",3-25,gugur_lava gunung_rapi jarak_luncur awan_panas arah_barat gugur kali_gempa rapi lava gunung,1
13,13,"['korban', 'sepeda_motor', 'media_sosial', 'dagang_pasar', 'unjung', 'salah_satu', 'polisi', 'titik', 'kawasan', 'etle']",3-25,korban sepeda_motor media_sosial dagang_pasar unjung salah_satu polisi titik kawasan etle,3
14,14,"['kamar', 'tani', 'duduk', 'cabai', 'adik', 'kulonprogo', 'alat', 'kebal', 'polda_diy', 'militer']",4-8,kamar tani duduk cabai adik kulonprogo alat kebal polda_diy militer,4
15,15,"['protokol_sehat', 'pandemi_covid', 'vaksinasi_covid', 'vaksinasi', 'gunungkidul', 'pemkab_sleman', 'terap_protokol', 'didik', 'ekonomi', 'wisata']",4-8,protokol_sehat pandemi_covid vaksinasi_covid vaksinasi gunungkidul pemkab_sleman terap_protokol didik ekonomi wisata,5
16,16,"['tambah', 'kabupaten_sleman', 'positif_covid', 'konfirmasi_positif', 'tracing_kontak', 'positif', 'periksa_mandiri', 'kota_yogyakarta', 'kabupaten_bantul', 'juru_bicara']",4-8,tambah kabupaten_sleman positif_covid konfirmasi_positif tracing_kontak positif periksa_mandiri kota_yogyakarta kabupaten_bantul juru_bicara,2
17,17,"['rumah_sakit', 'angin_kencang', 'tni', 'muhammadiyah', 'haedar', 'sakit', 'brigjen', 'tinggal_dunia', 'jiwa', 'kendara']",4-8,rumah_sakit angin_kencang tni muhammadiyah haedar sakit brigjen tinggal_dunia jiwa kendara,3
18,18,"['salat', 'kabupaten_bantul', 'unit', 'jawa', 'masjid', 'butuh', 'industri', 'salah_satu', 'operasi', 'handphone']",4-8,salat kabupaten_bantul unit jawa masjid butuh industri salah_satu operasi handphone,4
19,19,"['partai_demokrat', 'duga_teroris', 'mabes_polri', 'kota_yogyakarta', 'barang_bukti', 'larang_mudik', 'harga', 'mudik', 'vaksinasi', 'vaksin']",4-8,partai_demokrat duga_teroris mabes_polri kota_yogyakarta barang_bukti larang_mudik harga mudik vaksinasi vaksin,5
20,20,"['awan_panas', 'gunung_rapi', 'jarak_luncur', 'atta', 'data', 'arah_barat', 'wib_wib', 'amplitudo_mm', 'awan', 'aurel']",4-8,awan_panas gunung_rapi jarak_luncur atta data arah_barat wib_wib amplitudo_mm awan aurel,1
21,21,"['korban', 'sepeda_motor', 'kulonprogo', 'tinggal_dunia', 'saksi', 'polisi', 'motor', 'humas_polres', 'kulonprogo_iptu', 'temu']",4-8,korban sepeda_motor kulonprogo tinggal_dunia saksi polisi motor humas_polres kulonprogo_iptu temu,3
22,22,"['agama', 'bom_bunuh', 'gereja', 'gereja_katedral', 'bom', 'menteri_agama', 'terorisme', 'bunuh', 'umat', 'mabes_polri']",4-8,agama bom_bunuh gereja gereja_katedral bom menteri_agama terorisme bunuh umat mabes_polri,4
23,23,"['isolasi', 'klinik', 'obat', 'dalam', 'produk', 'allah', 'padukuhan', 'tes', 'positif_covid', 'ngaglik']",4-8,isolasi klinik obat dalam produk allah padukuhan tes positif_covid ngaglik,4
24,24,"['buka_puasa', 'wib', 'jadwal', 'kota_yogyakarta', 'salat', 'puasa', 'salat_tarawih', 'kemenag', 'ibadah', 'muslim']",4-22,buka_puasa wib jadwal kota_yogyakarta salat puasa salat_tarawih kemenag ibadah muslim,4
25,25,"['arab_saudi', 'wisata', 'protokol_sehat', 'laksana_ibadah', 'protokol', 'kilogram', 'salat_tarawih', 'jam', 'naik', 'daging']",4-22,arab_saudi wisata protokol_sehat laksana_ibadah protokol kilogram salat_tarawih jam naik daging,5
26,26,"['tambah', 'covid_berty', 'kabupaten_bantul', 'positif', 'tambah_konfirmasi', 'kota_yogyakarta', 'kabupaten_sleman', 'pemda_diy', 'konfirmasi', 'tracing_kontak']",4-22,tambah covid_berty kabupaten_bantul positif tambah_konfirmasi kota_yogyakarta kabupaten_sleman pemda_diy konfirmasi tracing_kontak,2
27,27,"['awan_panas', 'gunung_rapi', 'barat_daya', 'rapi', 'jarak_luncur', 'awan', 'gugur', 'luncur', 'detik_jarak', 'panas']",4-22,awan_panas gunung_rapi barat_daya rapi jarak_luncur awan gugur luncur detik_jarak panas,1
28,28,"['larang_mudik', 'mudik', 'mudik_lebaran', 'bupati_sleman', 'larang', 'lebaran', 'hujan', 'kabupaten_sleman', 'kustini', 'jalur']",4-22,larang_mudik mudik mudik_lebaran bupati_sleman larang lebaran hujan kabupaten_sleman kustini jalur,4
29,29,"['korban', 'kulonprogo', 'tinggal_dunia', 'masjid', 'anak', 'rumah_sakit', 'gunungkidul', 'polisi', 'anak_anak', 'temu']",4-22,korban kulonprogo tinggal_dunia masjid anak rumah_sakit gunungkidul polisi anak_anak temu,3
30,30,"['zona_merah', 'gunung_rapi', 'amplitudo_mm', 'tembak', 'vaksin', 'personel', 'acara', 'camat', 'zona', 'vaksinasi']",6-3,zona_merah gunung_rapi amplitudo_mm tembak vaksin personel acara camat zona vaksinasi,5
31,31,"['korban', 'air', 'parkir', 'haji', 'papua', 'jemaah_haji', 'harga', 'tarif_parkir', 'kawasan_malioboro', 'gunungkidul']",6-3,korban air parkir haji papua jemaah_haji harga tarif_parkir kawasan_malioboro gunungkidul,4
32,32,"['protokol_sehat', 'bantul', 'kota_yogyakarta', 'rumah_sakit', 'pasien_covid', 'tambah', 'makam', 'positif_covid', 'celaka', 'kabupaten_bantul']",6-3,protokol_sehat bantul kota_yogyakarta rumah_sakit pasien_covid tambah makam positif_covid celaka kabupaten_bantul,5
33,33,"['awan_panas', 'jarak_luncur', 'mantan', 'isolasi_mandiri', 'barat_daya', 'gunung_rapi', 'awan', 'arah_barat', 'timbang', 'durasi_detik']",6-17,awan_panas jarak_luncur mantan isolasi_mandiri barat_daya gunung_rapi awan arah_barat timbang durasi_detik,1
34,34,"['pabrik', 'gunungkidul_dewi', 'partai_politik', 'politik', 'intensif', 'resmi', 'corona', 'rabu', 'la_nyalla', 'nyalla']",6-17,pabrik gunungkidul_dewi partai_politik politik intensif resmi corona rabu la_nyalla nyalla,4
35,35,"['pasar', 'dagang', 'calon', 'berangkat', 'haji', 'pt', 'siswa', 'mahasiswa', 'tatap_muka', 'persero']",6-17,pasar dagang calon berangkat haji pt siswa mahasiswa tatap_muka persero,4
36,36,"['sepeda_motor', 'mobil', 'korban', 'curi', 'nopol_ab', 'polres', 'laku', 'motor', 'polres_kulonprogo', 'kendara']",6-17,sepeda_motor mobil korban curi nopol_ab polres laku motor polres_kulonprogo kendara,3
37,37,"['sangka', 'm', 'tangkap', 'senjata', 'sita', 'camat', 'jenis', 'api', 'desa', 'barang_bukti']",6-17,sangka m tangkap senjata sita camat jenis api desa barang_bukti,4
38,38,"['ugm', 'zona', 'fakultas', 'layan', 'teknik', 'tetap', 'lingkung', 'tingkat', 'terang_tulis', 'salah_satu']",6-17,ugm zona fakultas layan teknik tetap lingkung tingkat terang_tulis salah_satu,4
39,39,"['ungkap', 'rangka', 'keras', 'berat', 'iii', 'lengkap', 'surat', 'bebas', 'terus', 'wajib']",6-17,ungkap rangka keras berat iii lengkap surat bebas terus wajib,4
40,40,"['tular_covid', 'virus_corona', 'tangan_covid', 'swasta', 'tular', 'cegah_tular', 'kantor', 'konfirmasi_covid', 'baning', 'ton']",6-17,tular_covid virus_corona tangan_covid swasta tular cegah_tular kantor konfirmasi_covid baning ton,4
41,41,"['partai', 'gabung', 'salah_satu', 'dewan', 'negara', 'bangun', 'jakarta', 'dpp', 'percaya', 'jujur']",6-17,partai gabung salah_satu dewan negara bangun jakarta dpp percaya jujur,4
42,42,"['klaster', 'tinggal_dunia', 'protokol_sehat', 'gunungkidul', 'kepala_dinas', 'tangan_covid', 'gugus_tugas', 'tangan', 'protokol', 'dunia']",6-17,klaster tinggal_dunia protokol_sehat gunungkidul kepala_dinas tangan_covid gugus_tugas tangan protokol dunia,5
43,43,"['ppkm_darurat', 'jawa_bal', 'ppkm', 'darurat', 'tutup_objek', 'ppkm_mikro', 'giat_masyarakat', 'laku_batas', 'awan_panas', 'wisata']",7-1,ppkm_darurat jawa_bal ppkm darurat tutup_objek ppkm_mikro giat_masyarakat laku_batas awan_panas wisata,4
44,44,"['rumah_sakit', 'positif_covid', 'polda_diy', 'kabupaten_sleman', 'tinggal_dunia', 'korban', 'pasien', 'pasien_covid', 'pandemi_covid', 'protokol_sehat']",7-1,rumah_sakit positif_covid polda_diy kabupaten_sleman tinggal_dunia korban pasien pasien_covid pandemi_covid protokol_sehat,5
45,45,"['tambah_konfirmasi', 'tracing_kontak', 'pemda_diy', 'periksa_mandiri', 'screening_karyawan', 'ditya_nanaryo', 'kota_yogyakarta', 'kabag_humas', 'telusur', 'ditya']",7-1,tambah_konfirmasi tracing_kontak pemda_diy periksa_mandiri screening_karyawan ditya_nanaryo kota_yogyakarta kabag_humas telusur ditya,2
46,46,"['jenazah', 'ambulans', 'vaksin', 'vaksinasi', 'tinggal_dunia', 'ratus', 'mlati', 'herd_immunity', 'dinas_sehat', 'mohon']",7-15,jenazah ambulans vaksin vaksinasi tinggal_dunia ratus mlati herd_immunity dinas_sehat mohon,5
47,47,"['mobilitas_masyarakat', 'jam_wib', 'korban', 'mobilitas', 'bersih', 'varian_delta', 'kulonprogo', 'papua', 'perempuan', 'restoran']",7-15,mobilitas_masyarakat jam_wib korban mobilitas bersih varian_delta kulonprogo papua perempuan restoran,4
48,48,"['pemda_diy', 'positif_covid', 'kapasitas_tidur', 'positif', 'pasar', 'pasar_tradisional', 'obat', 'kota_yogyakarta', 'kabag_humas', 'pemkab_sleman']",7-15,pemda_diy positif_covid kapasitas_tidur positif pasar pasar_tradisional obat kota_yogyakarta kabag_humas pemkab_sleman,2
49,49,"['warga_dampak', 'paket', 'spesimen', 'sembako', 'salur_bantu', 'halaman', 'hak', 'peduli', 'ham', 'dampak']",7-29,warga_dampak paket spesimen sembako salur_bantu halaman hak peduli ham dampak,4
50,50,"['suami', 'sembelih_hewan', 'warna', 'sembelih', 'sun', 'ekor', 'the', 'henti', 'awal', 'doa']",7-29,suami sembelih_hewan warna sembelih sun ekor the henti awal doa,4
51,51,"['tinggal_dunia', 'kota_yogyakarta', 'warga_dampak', 'salah_satu', 'isolasi_mandiri', 'kota', 'angka_mati', 'mati', 'kamis', 'positif_covid']",7-29,tinggal_dunia kota_yogyakarta warga_dampak salah_satu isolasi_mandiri kota angka_mati mati kamis positif_covid,4
52,52,"['korban', 'wib', 'desa', 'kabupaten_bantul', 'lapor', 'teman', 'pariwisata', 'kiri', 'pasien_sembuh', 'cari']",7-29,korban wib desa kabupaten_bantul lapor teman pariwisata kiri pasien_sembuh cari,4
53,53,"['pemkab_sleman', 'harga', 'shelter', 'hak', 'bupati_sleman', 'beras', 'kabupaten_sleman', 'bank', 'bst', 'miliar']",7-29,pemkab_sleman harga shelter hak bupati_sleman beras kabupaten_sleman bank bst miliar,4
54,54,"['juru_bicara', 'rt', 'menang', 'lawan', 'kumpul', 'pt', 'tukang', 'klaim', 'tiga', 'serang']",7-29,juru_bicara rt menang lawan kumpul pt tukang klaim tiga serang,4
55,55,"['isolasi_mandiri', 'dlingo', 'banguntapan', 'orang_total', 'pandak', 'aktif', 'rekan', 'jetis', 'piyungan', 'kretek']",7-29,isolasi_mandiri dlingo banguntapan orang_total pandak aktif rekan jetis piyungan kretek,4
56,56,"['kabupaten_sleman', 'kabag', 'kabag_humas', 'catat_tambah', 'puncak', 'tren', 'lewat', 'joko_hastaryo', 'hastaryo', 'kasus']",7-29,kabupaten_sleman kabag kabag_humas catat_tambah puncak tren lewat joko_hastaryo hastaryo kasus,4
57,57,"['gunung_rapi', 'gunung', 'israel', 'barat_daya', 'wisata', 'objek_wisata', 'jarak_luncur', 'rapi', 'tutup', 'tembak']",7-29,gunung_rapi gunung israel barat_daya wisata objek_wisata jarak_luncur rapi tutup tembak,1
58,58,"['bantu_sosial', 'pandemi_covid', 'dampak', 'ppkm_level', 'anak_anak', 'ppkm_darurat', 'indonesia', 'daerah', 'salur_bantu', 'sri_sultan']",7-29,bantu_sosial pandemi_covid dampak ppkm_level anak_anak ppkm_darurat indonesia daerah salur_bantu sri_sultan,4
59,59,"['temu_tewas', 'korban', 'gantung', 'magelang', 'temu', 'saksi', 'ibu', 'jasad', 'simbah', 'simbah_darah']",7-29,temu_tewas korban gantung magelang temu saksi ibu jasad simbah simbah_darah,3
60,60,"['rumah_sakit', 'vaksinasi', 'anak', 'kalas', 'papar_covid', 'tangan_covid', 'bantul', 'juta', 'jalan_isolasi', 'kalas_sleman']",7-29,rumah_sakit vaksinasi anak kalas papar_covid tangan_covid bantul juta jalan_isolasi kalas_sleman,4
61,61,"['pintu', 'tanah', 'kompleks', 'dr', 'bangun', 'kilogram', 'sungguh', 'salat', 'signifikan', 'tani']",7-29,pintu tanah kompleks dr bangun kilogram sungguh salat signifikan tani,4
62,62,"['mobil', 'kurban', 'hewan_kurban', 'sapi', 'hewan', 'potong_hewan', 'masjid', 'lahir', 'posisi', 'ibadah']",7-29,mobil kurban hewan_kurban sapi hewan potong_hewan masjid lahir posisi ibadah,4
63,63,"['daerah_istimewa', 'bina', 'gejala_ringan', 'purworejo', 'infeksi', 'rawat', 'kelas', 'istimewa', 'kunjung', 'perempuan']",7-29,daerah_istimewa bina gejala_ringan purworejo infeksi rawat kelas istimewa kunjung perempuan,4
64,64,"['ayam', 'lurah', 'kabupaten_sleman', 'ngaglik_sleman', 'dagang', 'anak', 'hobi', 'prof', 'ngaglik', 'negeri']",11-4,ayam lurah kabupaten_sleman ngaglik_sleman dagang anak hobi prof ngaglik negeri,4
65,65,"['celaka', 'rumah_sakit', 'alami_luka', 'vanessa', 'tinggal_dunia', 'korban', 'jombang', 'mobil', 'budaya', 'gempa']",11-4,celaka rumah_sakit alami_luka vanessa tinggal_dunia korban jombang mobil budaya gempa,3
66,66,"['warga_bina', 'kota_yogyakarta', 'bantul', 'positif_covid', 'lapas_narkotika', 'diy', 'pasu', 'rusia', 'jakarta', 'lapor']",11-4,warga_bina kota_yogyakarta bantul positif_covid lapas_narkotika diy pasu rusia jakarta lapor,4
