No,Topik
18,"['dagang_pasar', 'pasar', 'bantu_sosial', 'tangan_covid', 'ppkm_darurat', 'dagang', 'positif_covid', 'pandemi_covid', 'vaksin', 'tenaga_sehat']"
19,"['tinggal_dunia', 'ugm', 'positif_covid', 'bantul', 'anak', 'vaksin', 'mahasiswa', 'anak_anak', 'jalan_isolasi', 'protokol_sehat']"
20,"['ugm', 'tenaga_sehat', 'tinggal_dunia', 'jalan_isolasi', 'juru_bicara', 'israel', 'mahasiswa', 'dagang_pasar', 'kulonprogo', 'pasien_tinggal']"
21,"['warga_dampak', 'tenaga_sehat', 'polda_diy', 'pemkab_sleman', 'paket', 'ppkm_darurat', 'tinggal_dunia', 'vaksinasi', 'slamet_santoso', 'pasien_tinggal']"
22,"['protokol_sehat', 'anak', 'kulonprogo', 'salah_satu', 'bunuh', 'temu_tewas', 'tni', 'kabupaten_kulonprogo', 'varian_delta', 'masker']"
23,"['positif_covid', 'tni', 'tenaga_sehat', 'sebar_covid', 'papar_covid', 'warga_dampak', 'vaksin', 'angka_mati', 'varian_delta', 'anak']"
24,"['tenaga_sehat', 'ugm', 'gunungkidul', 'ppkm_level', 'temu_tewas', 'listrik', 'kabupaten_kulonprogo', 'menteri', 'jalan_isolasi', 'kerja']"
25,"['pemkab_sleman', 'temu_tewas', 'papar_covid', 'kulonprogo', 'warga_dampak', 'gantung', 'tenaga_sehat', 'makan', 'daging', 'korban']"
26,"['temu_tewas', 'daging', 'gantung', 'konsumsi', 'israel', 'juru_bicara', 'tangan_covid', 'sangka', 'protokol_sehat', 'militer']"
27,"['tni', 'sri_sultan', 'pandemi_covid', 'ppkm_level', 'pemda_diy', 'sultan', 'negara', 'sangka', 'potong_hewan', 'dagang_pasar']"
28,"['ppkm_level', 'konsumsi', 'daging', 'pemkab_sleman', 'bantu_sosial', 'luka', 'paket', 'warga_dampak', 'level', 'israel']"
29,"['gunungkidul', 'angka_mati', 'pasien_sembuh', 'tni', 'tinggal_dunia', 'dagang_pasar', 'ppkm_darurat', 'mahasiswa', 'protokol_sehat', 'sri_sultan']"
30,"['tenaga_sehat', 'sangka', 'curi', 'ppkm_level', 'israel', 'daging', 'sri_sultan', 'warga_dampak', 'protokol_sehat', 'tangkap']"
31,"['laku_usaha', 'dagang_pasar', 'usaha', 'positif_covid', 'daging', 'konsumsi', 'listrik', 'sebar_covid', 'potong_hewan', 'laku_wisata']"
32,"['daging', 'laku_usaha', 'konsumsi', 'isolasi_mandiri', 'pandemi_covid', 'pasien_sembuh', 'positif_covid', 'gunungkidul', 'jalan_isolasi', 'tinggal_dunia']"
33,"['isolasi_mandiri', 'jalan_isolasi', 'sebar_covid', 'tangan_covid', 'sri_sultan', 'papar_covid', 'positif_covid', 'kerja', 'tidur', 'potong_hewan']"
34,"['negara', 'isolasi_mandiri', 'kulonprogo', 'kabupaten_sleman', 'ambulans', 'daging', 'positif_covid', 'ngemplak', 'ppkm_level', 'konsumsi']"
35,"['tanggal_juli', 'oksigen', 'juta', 'pemda_diy', 'sebar_covid', 'penuh_butuh', 'jalan_isolasi', 'negara', 'pasien_konfirmasi', 'hewan_kurban']"
36,"['tinggal_dunia', 'laku_usaha', 'pasien_tinggal', 'papar_covid', 'pasien_sembuh', 'angka_mati', 'salah_satu', 'kerja', 'pandemi_covid', 'ppkm_level']"
37,"['kerja', 'dana', 'ppkm_level', 'laku_usaha', 'potong_hewan', 'isolasi_mandiri', 'daerah_istimewa', 'negara', 'tni', 'vaksin']"
38,"['ngemplak', 'pemkab_sleman', 'vaksin', 'vaksinasi', 'perempuan', 'mayat', 'sebar_covid', 'daging', 'dosis', 'tni']"
39,"['pasien_konfirmasi', 'ambulans', 'sangka', 'papar_covid', 'potong_hewan', 'tangan_covid', 'pria', 'mati', 'dana', 'laku_usaha']"
40,"['sebar_covid', 'pasien_konfirmasi', 'pria', 'isolasi_mandiri', 'sapi', 'presiden', 'tular_covid', 'jalan_isolasi', 'pasien_tinggal', 'dinas_sehat']"
41,"['ppkm_level', 'indonesia', 'potong_hewan', 'sangka', 'ngemplak', 'juta', 'curi', 'usaha', 'isolasi_mandiri', 'kulonprogo']"
42,"['desa', 'ambulans', 'tangan_covid', 'vaksin', 'serang', 'juta', 'istri', 'curi', 'luka', 'juru_bicara']"
43,"['curi', 'tidur', 'magelang', 'ngemplak', 'isolasi_mandiri', 'gantung', 'bantu_sosial', 'darah', 'pasien_konfirmasi', 'dokter']"
44,"['vaksin', 'tenaga_sehat', 'sebar_covid', 'dosis', 'pemkab_sleman', 'ambulans', 'jokowi', 'hewan_kurban', 'penuh_butuh', 'juru_bicara']"
45,"['potong_hewan', 'tidur', 'ppkm_level', 'dinas_sehat', 'pemda_diy', 'perintah_pusat', 'virus_corona', 'isolasi_mandiri', 'kalas', 'tni']"
46,"['pasien_konfirmasi', 'tidur', 'bunuh', 'ambulans', 'kerja', 'sangka', 'dinas_sehat', 'hewan_kurban', 'positif_covid', 'rumah_sakit']"
47,"['potong_hewan', 'daftar', 'ambulans', 'bunuh', 'salah_satu', 'gelombang', 'protokol_sehat', 'pemkab_sleman', 'pandemi_covid', 'alokasi']"
48,"['gelombang', 'ambulans', 'potong_hewan', 'bantu_sosial', 'tanggal_juli', 'laut', 'pantai', 'positif_covid', 'juta', 'mahasiswa']"
